base	case	occurrence	ref	version	modifier	leaf	fragment	fragment-sha256	source-doc	source-path	status	output-doc	output-path	overridden-by
fixture	int	0	prism-port	1	-	-	f1.yaml	e8f8830a6ffa7c97dccbe9d4e7d4c1f8108a68d9c606e4f3f2c27e41950b6ea8	v1alpha1	machine/features/kubePrism/port	effective	v1alpha1	machine/features/kubePrism/port	-
fixture	invalid-value	0	dns-domain	1	-	-	f1.yaml	7b017a225276a88918336c8484a131fb64436567e45111a16d0207f2cee1e240	v1alpha1	cluster/network/dnsDomain	effective	v1alpha1	cluster/network/dnsDomain	-
fixture	list-append	0	manifest-url	1	-	-	f2.yaml	ff049cd32ef8b8eedffd69f4a3cd69fdbdc628b8baf497d0de0ffc32aad3f539	v1alpha1	cluster/extraManifests[0]	effective	v1alpha1	cluster/extraManifests[1]	-
fixture	list-duplicate	0	dup-pass	1	-	-	f2.yaml	cfaf6a32cb29af9386ebc93b9db37388fcad99d3f8ee77a6d525f65be06ce8fb	v1alpha1	cluster/inlineManifests[name=e2sp-dup]/contents|yaml/stringData/password	effective	v1alpha1	cluster/inlineManifests[name=e2sp-dup#1]/contents|yaml/stringData/password	-
fixture	map	0	reg-auth	1	-	username	f1.yaml	235cdb655aa7041a3aa9e59dbfab2eef14f9beb41e32abdec0dc1a4c097f86b9	v1alpha1	machine/registries/config/registry.example.test/auth	effective	v1alpha1	machine/registries/config/registry.example.test/auth/username	-
fixture	map	0	reg-auth	1	-	password	f1.yaml	235cdb655aa7041a3aa9e59dbfab2eef14f9beb41e32abdec0dc1a4c097f86b9	v1alpha1	machine/registries/config/registry.example.test/auth	effective	v1alpha1	machine/registries/config/registry.example.test/auth/password	-
fixture	map-partial	0	reg-auth	1	-	username	f1.yaml	235cdb655aa7041a3aa9e59dbfab2eef14f9beb41e32abdec0dc1a4c097f86b9	v1alpha1	machine/registries/config/registry.example.test/auth	effective	v1alpha1	machine/registries/config/registry.example.test/auth/username	-
fixture	map-partial	0	reg-auth	1	-	password	f1.yaml	235cdb655aa7041a3aa9e59dbfab2eef14f9beb41e32abdec0dc1a4c097f86b9	v1alpha1	machine/registries/config/registry.example.test/auth	overridden	-	-	f2.yaml
fixture	moved-r1	0	reg-pass	1	-	-	f1.yaml	285a05982cec64d417d09846518cc3a45dc2814bbe0fe3ba9ee62eb234c7658c	v1alpha1	machine/registries/config/registry.example.test/auth/password	effective	v1alpha1	machine/registries/config/registry.example.test/auth/password	-
fixture	moved-r2	0	reg-pass	1	-	-	f1.yaml	65a5ec9ef4e72dcd351ae6e9a0caaaf4eae95d1846761fb76c0eef6e0266ee75	v1alpha1	machine/registries/config/mirror.example.test/auth/password	effective	v1alpha1	machine/registries/config/mirror.example.test/auth/password	-
fixture	override-literal	0	reg-pass	1	-	-	f1.yaml	61032feac965968ea8d614555d0739da0c6d0408dd7d7b248091e84c984a9da5	v1alpha1	machine/registries/config/registry.example.test/auth/password	overridden	-	-	f2.yaml
fixture	override-ref	0	reg-pass	1	-	-	f2.yaml	4905a7124e9a8e948893c6ceda672c8ed1a9c34000f8d15d3a66025edd21237d	v1alpha1	machine/registries/config/registry.example.test/auth/password	effective	v1alpha1	machine/registries/config/registry.example.test/auth/password	-
fixture	ref-over-ref	0	pass-a	1	-	-	f1.yaml	a1b7c0a0606b2440b4e7651a465c9d54fe78207a6a46efd6759b600f31047ac6	v1alpha1	machine/registries/config/registry.example.test/auth/password	overridden	-	-	f2.yaml
fixture	ref-over-ref	1	pass-b	1	-	-	f2.yaml	0c9064390e0d9d28f279b30dc1c00f0d2a38ed8527c7f60b14db30660405dba1	v1alpha1	machine/registries/config/registry.example.test/auth/password	effective	v1alpha1	machine/registries/config/registry.example.test/auth/password	-
fixture	rotate-r1	0	reg-pass	1	-	-	f1.yaml	285a05982cec64d417d09846518cc3a45dc2814bbe0fe3ba9ee62eb234c7658c	v1alpha1	machine/registries/config/registry.example.test/auth/password	effective	v1alpha1	machine/registries/config/registry.example.test/auth/password	-
fixture	rotate-r2	0	reg-pass	2	-	-	f1.yaml	285a05982cec64d417d09846518cc3a45dc2814bbe0fe3ba9ee62eb234c7658c	v1alpha1	machine/registries/config/registry.example.test/auth/password	effective	v1alpha1	machine/registries/config/registry.example.test/auth/password	-
fixture	string	0	reg-pass	1	-	-	f1.yaml	61032feac965968ea8d614555d0739da0c6d0408dd7d7b248091e84c984a9da5	v1alpha1	machine/registries/config/registry.example.test/auth/password	effective	v1alpha1	machine/registries/config/registry.example.test/auth/password	-
fixture	type-mismatch	0	prism-port	1	-	-	f1.yaml	e8f8830a6ffa7c97dccbe9d4e7d4c1f8108a68d9c606e4f3f2c27e41950b6ea8	v1alpha1	machine/features/kubePrism/port	not-composed	-	-	-
fixture	type-mismatch-two	0	api-port	1	-	-	f1.yaml	e1e4316ba3932aad5aebcf36ef1e25dfde3758341eb26cd8165db107f2cf0686	v1alpha1	cluster/controlPlane/localAPIServerPort	not-composed	-	-	-
fixture	type-mismatch-two	1	prism-port	1	-	-	f1.yaml	e1e4316ba3932aad5aebcf36ef1e25dfde3758341eb26cd8165db107f2cf0686	v1alpha1	machine/features/kubePrism/port	not-composed	-	-	-
fixture	unidentified-embedded	0	app-pass	1	-	-	f1.yaml	d6084559f3bfa34607f8e40761b7d931fd6b34423136a2ea0c24501172363525	v1alpha1	cluster/inlineManifests[name=e2-secret]/contents|yaml/stringData/password	unresolved	-	-	-
fixture	whole-content	0	script	1	-	-	f1.yaml	27ffebad857a35543777f0abf3eeb4619fbf2feddeb84e93a749e037e345dea9	v1alpha1	machine/files[path=/var/etc/e2sp/run.sh]/content	effective	v1alpha1	machine/files[path=/var/etc/e2sp/run.sh]/content	-
fixture	yaml-escape	0	reg-pass	1	-	-	f1.yaml	285a05982cec64d417d09846518cc3a45dc2814bbe0fe3ba9ee62eb234c7658c	v1alpha1	machine/registries/config/registry.example.test/auth/password	effective	v1alpha1	machine/registries/config/registry.example.test/auth/password	-
