renderer	target	kubernetes	talosctl	machinery	controlplane_sha256	worker_sha256	machinery_output	talosctl_repeat
v1.13.10	current	default	0:M1	0:M2	795a16e87785e63418326997f22d1dc6e78abf9579bd9ce4f0040d4cdab3bfe7	7da5d5dc8019b1cae22679c7cfe3cb392803c6e8b9e1fa2ee427fa282690e31d	same	same
v1.13.10	current	1.36.2	0:M1	0:M2	672ba43a6651ea86ab367e7848c380363e2fc0259ad1a52d56c4bb8f794ddee1	74abf54480a1b2021b03ee72781a9548e6316cc532be317460d77272c201ebb2	same	same
v1.13.10	v1.10.0	default	0:M1	0:M2	3df61d574a3f1465fa63a949501a48497e7a7de7786e92fcc41dfbefe38f191e	9352b309d373683fcf1a5fd19931bf2ba38e7a3ef4cadb9cc5faff4bb3a54037	same	same
v1.13.10	v1.10.0	1.36.2	0:M1	0:M2	3e33f9ead55cd1e9ae9f90ec9c9c5b0fb0dc2378c3c7bd5062fc18254559eb7d	ea9417107c46eaa282f0b87e3b78cc2ecbd23ba0cb25d4c309f06d7bcd029bc5	same	same
v1.13.10	v1.11.0	default	0:M1	0:M2	3df61d574a3f1465fa63a949501a48497e7a7de7786e92fcc41dfbefe38f191e	9352b309d373683fcf1a5fd19931bf2ba38e7a3ef4cadb9cc5faff4bb3a54037	same	same
v1.13.10	v1.11.0	1.36.2	0:M1	0:M2	3e33f9ead55cd1e9ae9f90ec9c9c5b0fb0dc2378c3c7bd5062fc18254559eb7d	ea9417107c46eaa282f0b87e3b78cc2ecbd23ba0cb25d4c309f06d7bcd029bc5	same	same
v1.13.10	v1.12.0	default	0:M1	0:M2	bd438d26a3465d3c5f5220f999a0f57524f97db94f04a456f58d33e7b08ad760	e6cf96f22a24321bcad6be8c42ad7cd75e8405ac3e00bc45bd8270fb173747ef	same	same
v1.13.10	v1.12.0	1.36.2	0:M1	0:M2	295f99d17c0d30d9994eb9153ae0c2f8e4453a8813e0626dab7887791fe899f3	c95bca0bdad2368332128f1924041a762cf3f5aaa5fe861b8ae565daa85ad365	same	same
v1.13.10	v1.13.0	default	0:M1	0:M2	795a16e87785e63418326997f22d1dc6e78abf9579bd9ce4f0040d4cdab3bfe7	7da5d5dc8019b1cae22679c7cfe3cb392803c6e8b9e1fa2ee427fa282690e31d	same	same
v1.13.10	v1.13.0	1.36.2	0:M1	0:M2	672ba43a6651ea86ab367e7848c380363e2fc0259ad1a52d56c4bb8f794ddee1	74abf54480a1b2021b03ee72781a9548e6316cc532be317460d77272c201ebb2	same	same
v1.13.10	v1.14.0	default	0:M1	0:M2	795a16e87785e63418326997f22d1dc6e78abf9579bd9ce4f0040d4cdab3bfe7	7da5d5dc8019b1cae22679c7cfe3cb392803c6e8b9e1fa2ee427fa282690e31d	same	same
v1.13.10	v1.14.0	1.36.2	0:M1	0:M2	672ba43a6651ea86ab367e7848c380363e2fc0259ad1a52d56c4bb8f794ddee1	74abf54480a1b2021b03ee72781a9548e6316cc532be317460d77272c201ebb2	same	same
v1.13.10	v1.15.0	default	0:M1	0:M2	795a16e87785e63418326997f22d1dc6e78abf9579bd9ce4f0040d4cdab3bfe7	7da5d5dc8019b1cae22679c7cfe3cb392803c6e8b9e1fa2ee427fa282690e31d	same	same
v1.13.10	v1.15.0	1.36.2	0:M1	0:M2	672ba43a6651ea86ab367e7848c380363e2fc0259ad1a52d56c4bb8f794ddee1	74abf54480a1b2021b03ee72781a9548e6316cc532be317460d77272c201ebb2	same	same
v1.13.10	1.13	default	0:M1	0:M2	795a16e87785e63418326997f22d1dc6e78abf9579bd9ce4f0040d4cdab3bfe7	7da5d5dc8019b1cae22679c7cfe3cb392803c6e8b9e1fa2ee427fa282690e31d	same	same
v1.13.10	1.13	1.36.2	0:M1	0:M2	672ba43a6651ea86ab367e7848c380363e2fc0259ad1a52d56c4bb8f794ddee1	74abf54480a1b2021b03ee72781a9548e6316cc532be317460d77272c201ebb2	same	same
v1.13.10	v1.13.6	default	0:M1	0:M2	795a16e87785e63418326997f22d1dc6e78abf9579bd9ce4f0040d4cdab3bfe7	7da5d5dc8019b1cae22679c7cfe3cb392803c6e8b9e1fa2ee427fa282690e31d	same	same
v1.13.10	v1.13.6	1.36.2	0:M1	0:M2	672ba43a6651ea86ab367e7848c380363e2fc0259ad1a52d56c4bb8f794ddee1	74abf54480a1b2021b03ee72781a9548e6316cc532be317460d77272c201ebb2	same	same
v1.13.10	v1.15.0-alpha.0	default	0:M1	0:M2	795a16e87785e63418326997f22d1dc6e78abf9579bd9ce4f0040d4cdab3bfe7	7da5d5dc8019b1cae22679c7cfe3cb392803c6e8b9e1fa2ee427fa282690e31d	same	same
v1.13.10	v1.15.0-alpha.0	1.36.2	0:M1	0:M2	672ba43a6651ea86ab367e7848c380363e2fc0259ad1a52d56c4bb8f794ddee1	74abf54480a1b2021b03ee72781a9548e6316cc532be317460d77272c201ebb2	same	same
v1.13.10	v1.99.0	default	0:M1	0:M2	795a16e87785e63418326997f22d1dc6e78abf9579bd9ce4f0040d4cdab3bfe7	7da5d5dc8019b1cae22679c7cfe3cb392803c6e8b9e1fa2ee427fa282690e31d	same	same
v1.13.10	v1.99.0	1.36.2	0:M1	0:M2	672ba43a6651ea86ab367e7848c380363e2fc0259ad1a52d56c4bb8f794ddee1	74abf54480a1b2021b03ee72781a9548e6316cc532be317460d77272c201ebb2	same	same
v1.13.10	bogus	default	1:M3	1:M4	none	none	none	none
v1.13.10	bogus	1.36.2	1:M3	1:M4	none	none	none	none
v1.14.1	current	default	0:M1	0:M2	5d2fb5e06e34e92b8aafe49adb702ab1f4d5338b1f969c67ed02c10ed9539d37	34533285ad10957d54a8d16d431083d87494759fd27430298acc87721147c075	same	same
v1.14.1	current	1.36.2	0:M1	0:M2	6f90c3edb7039f8664e5233f94c51701849860416a4446124f866250cf1d1056	5df8c243e4d577a6da00cdd0bf0d65211faaa7f881932797ae2d2b38f488930e	same	same
v1.14.1	v1.10.0	default	0:M1	0:M2	fc5d0f55bcb208a196b2aeb960729d68d68d00e8cdc76a0deef44d104daab44b	345ab1f6fe9709834c3ee00e67492793e1d58773e5081cc992f1cad8c36ace8d	same	same
v1.14.1	v1.10.0	1.36.2	0:M1	0:M2	3e33f9ead55cd1e9ae9f90ec9c9c5b0fb0dc2378c3c7bd5062fc18254559eb7d	ea9417107c46eaa282f0b87e3b78cc2ecbd23ba0cb25d4c309f06d7bcd029bc5	same	same
v1.14.1	v1.11.0	default	0:M1	0:M2	fc5d0f55bcb208a196b2aeb960729d68d68d00e8cdc76a0deef44d104daab44b	345ab1f6fe9709834c3ee00e67492793e1d58773e5081cc992f1cad8c36ace8d	same	same
v1.14.1	v1.11.0	1.36.2	0:M1	0:M2	3e33f9ead55cd1e9ae9f90ec9c9c5b0fb0dc2378c3c7bd5062fc18254559eb7d	ea9417107c46eaa282f0b87e3b78cc2ecbd23ba0cb25d4c309f06d7bcd029bc5	same	same
v1.14.1	v1.12.0	default	0:M1	0:M2	4f0ae0513ae5f8c9b566aa103cd80fc104bc8298b0f4d579409f81c6c0f50d8c	bd0111817bb4ec81c43fe7b1cdec5ee680fb91d47fbd7476503d33fe8d202eaf	same	same
v1.14.1	v1.12.0	1.36.2	0:M1	0:M2	295f99d17c0d30d9994eb9153ae0c2f8e4453a8813e0626dab7887791fe899f3	c95bca0bdad2368332128f1924041a762cf3f5aaa5fe861b8ae565daa85ad365	same	same
v1.14.1	v1.13.0	default	0:M1	0:M2	b8aa3d88d7493568082f956d838815a7a5a558b30773e6395c7dcf3367efab87	b18fa4c26691f61250e73fd8f84598ef0808847ae8edab5f34d5e880fb313fe3	same	same
v1.14.1	v1.13.0	1.36.2	0:M1	0:M2	672ba43a6651ea86ab367e7848c380363e2fc0259ad1a52d56c4bb8f794ddee1	74abf54480a1b2021b03ee72781a9548e6316cc532be317460d77272c201ebb2	same	same
